College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Centralia College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Centralia College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Centre College](https://www.centre.edu/coronavirus/)@@Centre College,--,Private,KY,--,--,✓,--,--,R
[Cerro Coso College](https://do-prod-webteam-drupalfiles.s3-us-west-2.amazonaws.com/kccdedu/s3fs-public/KCCD%20RESOLUTION%20NO.%20R-4-21_FINAL081221%20-%20OK%20to%20Post.pdf)@@Cerro Coso College,12-Aug-21,Public,CA,✓,--,✓,--,--,D
[Chabot College](http://districtazure.clpccd.org/policies/files/docs/BP7330.pdf)@@Chabot College,--,Public,CA,✓,--,--,--,--,D
[Chamberlain University at Addison](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Addison,15-Jul-21,For-profit,IL,✓,--,✓,--,--,D
[Chamberlain University at Atlanta](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Atlanta,7/15/21,For-profit,GA,✓,--,✓,--,--,D
[Chamberlain University at Charlotte](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Charlotte,15-Jul-21,For-profit,NC,✓,--,✓,--,--,R
[Chamberlain University at Chicago](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Chicago,15-Jul-21,For-profit,IL,✓,--,✓,--,--,D
[Chamberlain University at Cleveland](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Cleveland,15-Jul-21,For-profit,OH,✓,--,✓,--,--,R
[Chamberlain University at Columbus](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Columbus,15-Jul-21,For-profit,OH,✓,--,✓,--,--,R
[Chamberlain University at Houston](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Houston,15-Jul-21,For-profit,TX,✓,--,✓,--,--,R
[Chamberlain University at Indianapolis](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Indianapolis,15-Jul-21,For-profit,IN,✓,--,✓,--,--,R
[Chamberlain University at Irving](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Irving,15-Jul-21,For-profit,TX,✓,--,✓,--,--,R
[Chamberlain University at Irwindale](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Irwindale,15-Jul-21,For-profit,CA,✓,--,✓,--,--,D
[Chamberlain University at Jacksonville](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Jacksonville,15-Jul-21,For-profit,FL,✓,--,✓,--,--,R
[Chamberlain University at Las Vegas](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Las Vegas,15-Jul-21,For-profit,NV,✓,--,✓,--,--,D
